art_style,painting,utterance
Minimalism,walter-de-maria_high-energy-bar-and-certificate-1966,"Three dimensional picture of a long, gray rectangular object."
Realism,julius-leblanc-stewart_carolina(1),"The landscape is well outlined and the grey color, and well detailed group of people dancing gives the painting a distictive live."
Early_Renaissance,piero-della-francesca_meeting-between-the-queen-of-sheba-and-king-solomon-detail(1),A bearded man holds hands with a woman wearing a veil.
Realism,gustave-courbet_rocky-landscape-with-figure-1865,The forest of trees are making the path very dark to see.
Impressionism,claude-monet_church-at-jeufosse-snowy-weather,A church stands at the top of a snowy hill.
Baroque,le-nain-brothers_christ-on-the-cross,"Jesus Christ nailed to the cross while two women in the background look on, and two men on horses ride away."
Realism,ivan-shishkin_study-forest,I see a forest that has been logged with many tree stumps.
Art_Nouveau_Modern,raphael-kirchner_love-flowers-1903-1,a girl in a green dress and bonnet holds a bouquet of red flowers
Impressionism,eugene-boudin_the-port-of-le-havre-at-sunset-1882,A ship sails out into the ocean towards the horizon with a group of other ships.
Baroque,caravaggio_saint-francis-in-meditation(1),very dark shadowed figure of a man and a skull nearby
Impressionism,willard-metcalf_spring-in-the-valley,A lovely countryside with a few roads and a few homes.
Ukiyo_e,katsushika-hokusai_the-river-tone-in-the-province-of-kazusa,An Asian boat on choppy water with Asian lettering in the corner.
Romanticism,gustave-dore_a-message-from-the-east,"Colorless painting with a few people, and children. There is a man holding a horse in the background."
Realism,charles-francois-daubigny_daybreak-the-oise-ile-de-vaux-1869,"the edge of a lake, trees on the opposite shore."
Realism,camille-corot_rocks-at-civita-castellana,Some huge mountains with some trees around them.
Impressionism,pierre-auguste-renoir_two-bathers-in-a-landscape-1919,Some women are undressing their clothes by the river.
Northern_Renaissance,albrecht-durer_st-george-on-foot-1502,"A man from the midieval period, dressed in armor and holding a long staff, stands before a dead dragon, laying on the ground, in front of a large body of water."
High_Renaissance,leonardo-da-vinci_head-of-saint-anne,A woman with a scarf on her head is smiling.
Cubism,carlos-merida_el-n-huatl-1964,A group of black and grey shapes are over a red background.
Impressionism,konstantin-korovin_bridge-1,A woman wearing a red and white dress leans against a fence next to a wooded area.
Post_Impressionism,henri-de-toulouse-lautrec_the-laundry-worker-1888,"A woman in a white shirt leans forward, her hands on a table, looking out a window."
Romanticism,caspar-david-friedrich_the-watzmann-1825,An open rocky area with tall white mountains behind it
Expressionism,m.c.-escher_fiet-van-stolk,A profile of a woman looking down on a background of black and white stripes.
Romanticism,gustave-dore_the-serpent,"Two angels fly above a garden, where two figures stand watching. A snake looks up at the angels in the foreground."
Northern_Renaissance,albrecht-durer_ecce-homo-1512,Men are inspecting a man whose hands are bound.
Ukiyo_e,kitagawa-utamaro_hideyoshi-and-his-wives,A group of people with long dresses are sitting on the floor.
Fauvism,john-duncan-fergusson_siesta-1951,A naked woman rests in a hammock in the shade of trees while a boat sails by in the background
Expressionism,hans-hofmann_untitled-1929,A sketch of varying geometric shapes and patterns.
Post_Impressionism,maurice-denis_the-offertory-at-calvary,A funereal scene with a woman bringing flowers to the base of a crucifix.
Impressionism,pierre-auguste-renoir_landscape-with-mimosas-1912,A person is looking over some tall colorful trees.
Baroque,anthony-van-dyck_portrait-of-a-noble-genoese-lady-1627,An ancient woman of royalty stands in her dwelling next to a chair.
Contemporary_Realism,john-miller_beach(2),"A blue textured surface meets the uneven part of a brown, textured surface that fades into a light, cream color surface."
Romanticism,gustave-dore_don-quixote-85,Some men are riding on their horses.
Color_Field_Painting,mark-rothko_yellow-cherry-orange,"Abstract geometric forms comprised of shades of red, orange and yellow."
Realism,claude-monet_a-corner-of-the-studio(1),A desk laden with books against a frescoed wall
Analytical_Cubism,georges-braque_rooftops-at-ceret-1911,Abstract painting in gray and golden boxes and/or angles creating a building-like appearance.
Expressionism,m.c.-escher_emblemata-buoy,Writing on a black and white image of water and an oar going into it tied to an anchor.
Early_Renaissance,pietro-perugino_st-jerome-penitence,A bearded man wearing white robes kneels in front of a rocky waterfall.
Romanticism,paul-cezanne_man-in-a-straw-hat-1871,A man with a hat and coat is looking over the picture.
Abstract_Expressionism,frank-stella_giuf-e-la-berretta-rossa-state-ii-1989,"In the back there spotty black on gray, the next layer is a box of scribbled black then a colorful image that look combines a cone, cylinder and other objects,"
Expressionism,pablo-picasso_minotaur-caressing-a-sleeping-woman,A sketch of a man crouched above a face.
Realism,ivan-shishkin_forest-in-mordvinovo-1891,This is the middle of a wooded area with a bunch of standing trees and some cut doen trees
Baroque,peter-paul-rubens_the-consequences-of-war-1638,A group of people are running against each other.
Symbolism,nicholas-roerich_mongolian-tsam-1928,A religious ceremony was on the way and three buddhas painting were hang up for worship.
Ukiyo_e,utagawa-toyokuni-ii_sumo-wrester-in-blue-brown-striped-underkimono,A very large Asian  man in stripes and black holding a fan.
Post_Impressionism,janos-tornyai_great-tree-at-m-rt-ly-1910,A large burnt sienna colored tree stands in front of a sky.
Baroque,eustache-le-sueur_clio-euterpe-and-thalia,Three women wearing loose robes sit in a wooded area playing instruments.
Realism,charles-francois-daubigny_cows-on-the-banks-of-the-seine-at-conflans-1876,"A sky at dusk, the landscape is darkened, with a stream cutting through with livestock coming for a drink."
Mannerism_Late_Renaissance,jacopo-pontormo_study-for-vertumnus-and-pomona-1519,A man with a turban is sitting on the floor naked.
Impressionism,claude-monet_road-at-louveciennes-melting-snow-sunset,"A snowy street with houses on both sides and some trees, a sun set sky in the background."
Fauvism,fikret-mualla-saygi_unknown-title-20,"A group of people stand against a red background, a girl holds some balloons."
Post_Impressionism,pyotr-konchalovsky_a-square-set-decor-for-opera-carmen-by-georges-bizet-1944,People and horses in front of a large two story building with flags on the top of it
Symbolism,nicholas-roerich_monhigan-study-1922-3,a rough sketch of hills that are labeled with letters and numbers
Expressionism,ion-tuculescu_after-wars-rebirth,Abstract painting of different colored totems standing together with a blue background and a white swirl in the bottom forward part of the picture.
Naive_Art_Primitivism,fernand-leger_the-album-circus-1950-24,A person with green hair and a yellow shirt with a red star carries a ladder on their left arm.
Impressionism,pierre-auguste-renoir_the-clearing-1895,A downward meadow that runs into a small village while the wind is blowing the full trees.
Impressionism,vasily-polenov_venice-pipes,A mulistoried building in tan hues with stairs against a blue sky.
Realism,thomas-eakins_portrait-of-lucy-langdon-williams-wilson-1908,A man wearing glasses and a cream colored coat is staring at something.
Abstract_Expressionism,joan-mitchell_untitled-1979,A painting of yellow and purple short straight lines going multiple directions in no particular pattern.
Baroque,bartolome-esteban-murillo_saint-isidore,A man with a pope type hat and a staff is sitting.
Realism,nicholas-roerich_sketch-to-holy-fire-1900,A crouching man with no face is crouching behind  another man.
Impressionism,henri-edmond-cross_the-bay-of-cavalieri,Two small and short trees are standing on a sandy hill.
High_Renaissance,raphael_theology-from-the-stanza-della-segnatura-1511,A woman between two cherubim who are holding up signs that say Divinar Rer and Noti Tia.
Abstract_Expressionism,craig-kauffman_still-life-1957,a thick black line rises among a series of lines and yellow splotches.
Northern_Renaissance,hieronymus-bosch_christ-carrying-the-cross,Christ carrying the cross with some help and soldiers whipping the way.
Symbolism,nicholas-roerich_hidden-treasure-1947,A person is on a boat at a huge river.
Realism,camille-corot_watercourse-leading-to-the-square-tower-1870,Someone standing in front of small stream of water with large trees to one side
Abstract_Expressionism,salvador-dali_noe-qui-primus-plantavit-vineam-genesis-9-20f-1967,Two people are standing over a body that is laying down on the ground.
Realism,giovanni-boldini_madame-georges-hugo-and-her-son-jean-1898,A woman in a green dress is holding their child.
Abstract_Expressionism,richard-diebenkorn_miller-22,Yellow parchment hangs to dry before being used for artwork.
Northern_Renaissance,hans-baldung_the-holy-family-with-saint-anne-and-saint-joachim-gravure-sur-bois-vers-realisee-1510-1511-1511,A line drawing of two women and a baby with halos and two men behind them.
Realism,ilya-repin_a-woman-in-a-cap,A profile of a woman is sketched in black and white.
Realism,vincent-van-gogh_girl-kneeling-in-front-of-a-cradle-1883(1),A chalk scribble of a mother looking over her baby in a crib.
Realism,antonio-carneiro_retrato-de-cl-udio-e-maria-1922,A stoic couple posing for a portrait in blacks and browns.
Impressionism,john-singer-sargent_statue-of-daphne-1910,A naked white statue of a woman with her arms raised up above her head outside in a garden.
Impressionism,pierre-auguste-renoir_portrait-of-an-anonymous-sitter-1875,A woman in blue with a flouncy lacy collar looks to the left.
Expressionism,jose-gutierrez-solana_the-burial-of-the-sardine,"The backgound showing the surrounding environment  of well put standing trees,houses, a light reflecting the people and detailed shadows, this gives the painting more live."
Rococo,joshua-reynolds_mrs-john-parker-1772,A woman is standing alone standing up against a structure outside.
Post_Impressionism,vincent-van-gogh_self-portrait-with-gray-felt-hat-1887,a self protrait of van gogh in a blue lined suit and a hat
Expressionism,nicolae-tonitza_child-in-rose-1924,A very young baby fully dressed wrapped up in some blankets.
Symbolism,kimon-loghi_the-night,A dark forest is in front of a colorful background.
Rococo,antoine-pesne_frederick-ii-of-prussia-1750,A royal looking man with powdered white wig and finery.
Baroque,gerrit-dou_still-life-with-globe-lute-and-books,An instrument leans against books and a globe.  The light source is coming from the left
Minimalism,agnes-martin_happy-holiday-1999,Red and blue stripes appear horizontally while becoming brighter in the center.
Post_Impressionism,maurice-denis_rocks-at-pouldu,A woman reclines on a landscape composed of amorphous shapes.
Naive_Art_Primitivism,fernand-leger_study-for-the-party-campaign,A group of people are huddling around each other.
Mannerism_Late_Renaissance,tintoretto_crucifixion-1565-1,"The Crucifixion, with Jesus in the middle of the painting and many people around him."
Impressionism,antoine-blanchard_boulevard-de-la-madeleine-8,A city street with people on the sidewalk and horse-drawn carriages on the road.
